,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,-2.741621034308656e-37,-6.46773875255125e-50,-5.404987126210315e-50,-2.264690475421696e-61,7.759578487020934e-62,5.394172755381267e-73,-1.0932379777459282e-73,-1.0571821082112863e-84,1.5224670109314887e-85,1.8837223564178833e-96,-2.1046928269194318e-97,-3.172162147483474e-108,2.8958580373352353e-109,5.146710851957436e-120,-3.972219881521916e-121,-8.134035411742134e-132,5.4377408265092506e-133,1.260805971928851e-143,-7.434166578938952e-145,-1.925380664456682e-155,1.015476885440098e-156,2.905820708510005e-167,-1.386308566612168e-168,-4.343904570940708e-179,1.8918476543615673e-180,6.442777067936932e-191,-2.5810971005583686e-192,-9.492829006931526e-203,3.5208789990955e-204,1.3908284508077988e-214,-4.8023149112209914e-216,-2.0278861347045857e-226,6.549662844527458e-228,2.944262851706945e-238,-8.932367898385493e-240,-4.258864610058991e-250,1.2181495272675686e-251,6.140141341672924e-262,-1.6612139356336075e-263,-8.826395948210837e-274,2.26539821833385e-275,1.2654312446719595e-285,-3.0892964886246675e-287,-1.8098995290846117e-297,4.212811354219602e-299,2.583011937469115e-309,-5.7449030515487e-311,-3.68e-321,8.4e-323,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1,4.3298697960381105e-14,5.334621633323877e-14,9.287015600989434e-14,1.6871226637960035e-13,3.3717473257866004e-13,7.111117250602206e-13,1.5411144582699876e-12,3.3826552670035426e-12,7.466346985118832e-12,1.6514858924843168e-11,3.6540839798426816e-11,8.078471225303474e-11,1.7828319376356205e-10,3.923279617845665e-10,8.596582196096492e-10,1.8719330946437296e-09,4.040023218743194e-09,8.611405852287923e-09,1.8048329164521704e-08,3.7002594613366746e-08,7.380733044182186e-08,1.425017441825105e-07,2.6512119535859746e-07,4.7325124655217543e-07,8.064997757267767e-07,1.305141623469952e-06,1.9978852319191276e-06,2.8916297997311213e-06,3.969993619068468e-06,5.200378079633916e-06,6.544051115553451e-06,7.964260893111863e-06,9.430554991612938e-06,1.0919881762425088e-05,1.241584454303446e-05,1.3907268139837226e-05,1.538674845991128e-05,1.684946188629244e-05,1.8292287937829443e-05,1.9713203792293132e-05,2.1110884145206232e-05,2.2484444688164462e-05,2.3833281302509945e-05,2.5156970967249448e-05,2.6455211496301256e-05,2.7727785234646363e-05,2.8974537288131708e-05,3.0195362430651684e-05,3.139019710853008e-05,3.255901438860287e-05,3.370182057294002e-05,3.481865273810558e-05,3.5909576774934004e-05,3.697468569323348e-05,3.801409806475364e-05,3.902795654012192e-05,4.001642640930059e-05,4.0979694192838645e-05,4.191796626139277e-05,4.283146748453037e-05,4.372043991138219e-05
2,7.863154571907671e-14,9.27313781318162e-14,1.4799272918253337e-13,2.541022947610827e-13,4.894973315572315e-13,1.0117462423409052e-12,2.1703194796884873e-12,4.7391535140661745e-12,1.0432155139739052e-11,2.3038737584357705e-11,5.092204435896974e-11,1.1248760256599155e-10,2.4807508824942204e-10,5.455654816799438e-10,1.1947352274166434e-09,2.600264115137918e-09,5.609876480017206e-09,1.1956540812985139e-08,2.5070586745501444e-08,5.147533313487607e-08,1.0301715230864872e-07,2.0019033214468962e-07,3.767294658729714e-07,6.849064476677214e-07,1.1982901886031794e-06,2.004435083274858e-06,3.181205071506321e-06,4.765813784668449e-06,6.740327031906634e-06,9.043820854676143e-06,1.15969836276264e-05,1.4322494056251411e-05,1.7155666375806566e-05,2.0047273059320414e-05,2.2962104517854076e-05,2.587598540904068e-05,2.8772736128779286e-05,3.1641674806875963e-05,3.447577319512507e-05,3.727037978482062e-05,4.0022371595505035e-05,4.2729606399422027e-05,4.5390575894616036e-05,4.800418913483706e-05,5.056963852506646e-05,5.3086317270883976e-05,5.5553768457006214e-05,5.7971653348420915e-05,6.0339731255076856e-05,6.265784629305715e-05,6.492591823162308e-05,6.714393574894229e-05,6.93119511122886e-05,7.143007570764581e-05,7.349847608967286e-05,7.55173703677059e-05,7.748702482099357e-05,7.940775068873696e-05,8.127990110343153e-05,8.31038681496088e-05,8.488008003990077e-05
3,1.1152190282359697e-13,1.2778667013435552e-13,1.9156898289907076e-13,3.13915560212763e-13,5.852540674311513e-13,1.1868839244755236e-12,2.520594843957724e-12,5.476008535509891e-12,1.2021550421792426e-11,2.6507185335589156e-11,5.852679452189591e-11,1.2918133229788964e-10,2.8468982726792547e-10,6.256789530922902e-10,1.3693193801067594e-09,2.978436941525331e-09,6.422043175025038e-09,1.3680153343464951e-08,2.867097048664391e-08,5.884591097737868e-08,1.1774831071287295e-07,2.2887813588834405e-07,4.312483368185127e-07,7.8662217800618e-07,1.386195809305324e-06,2.3495005423979087e-06,3.8044766271227992e-06,5.845514542246466e-06,8.49055162893686e-06,1.1673386403288077e-05,1.5277631747356857e-05,1.9179363578647468e-05,2.3272344727209848e-05,2.747538107827907e-05,3.1730377877292604e-05,3.599737087905952e-05,4.0249481205567594e-05,4.4468815895370994e-05,4.864346592270419e-05,5.276543524523891e-05,5.682926491579199e-05,6.0831141407258205e-05,6.476832823476553e-05,6.863880746538209e-05,7.244105486287067e-05,7.61738989284999e-05,7.983643206865843e-05,8.342795390064994e-05,8.694793426983205e-05,9.039598832338847e-05,9.377185895981244e-05,9.707540381553859e-05,0.00010030658507276247,0.00010346546105549637,0.00010655217899752101,0.00010956696860719983,0.00011251013620450223,0.00011538205929662038,0.0001181831815002532,0.00012091400776115258,0.00012357509982879877
4,1.438849039914203e-13,1.6192602814157908e-13,2.3264723481020155e-13,3.682609772681644e-13,6.689648834878881e-13,1.3352097205654445e-12,2.811029187199665e-12,6.079581282847357e-12,1.3314405133968421e-11,2.931499487601741e-11,6.466172042252083e-11,1.4260931324727721e-10,3.140633308973406e-10,6.897840076902639e-10,1.5086592530799692e-09,3.2794672533142943e-09,7.066685125955985e-09,1.5043652490387416e-08,3.150665095486005e-08,6.461355661624424e-08,1.2915608549324276e-07,2.5070966969131803e-07,4.71562555837135e-07,8.585596908416981e-07,1.5111362741682122e-06,2.5633634580524145e-06,4.169798759279253e-06,6.468988890562244e-06,9.534495081731098e-06,1.3341370276975795e-05,1.7774740493026187e-05,2.267592695398557e-05,2.789112497830759e-05,3.329674970237173e-05,3.880312801401997e-05,4.434852861057159e-05,4.9891495739196046e-05,5.5404420900628804e-05,6.086886583522855e-05,6.627237412165643e-05,7.160637204439713e-05,7.686481441404602e-05,8.204332140343551e-05,8.713863183940074e-05,9.214825748787847e-05,9.707026376915007e-05,0.00010190312949570624,0.00010664565582751973,0.00011129690584971152,0.00011585616323783743,0.00012032290288865877,0.00012469676912008065,0.00012897755873880756,0.00013316520730455306,0.00013725977755441043,0.000141261449343566,0.00014517051068851927,0.0001489873496506866,0.00015271244688475072,0.00015634636873246288,0.0001598897607769656
5,1.7608137170554983e-13,1.957323192414151e-13,2.73225886360251e-13,4.214406601477094e-13,7.497336085293682e-13,1.4768186673563832e-12,3.0866420530628602e-12,6.64945876138745e-12,1.4530598946294049e-11,3.195022024726768e-11,7.040779070877079e-11,1.551632156093774e-10,3.4147618066526775e-10,7.495054576978077e-10,1.638243429802344e-09,3.5589210467534826e-09,7.664007872776324e-09,1.6304491645691144e-08,3.4122481840093144e-08,6.991688661361906e-08,1.3959494560289443e-07,2.705310785389159e-07,5.076872836573543e-07,9.216229612807325e-07,1.6168500285296261e-06,2.7348817784877966e-06,4.442586805541993e-06,6.9000842761735015e-06,1.0215892447762442e-05,1.4410276545584466e-05,1.9407040524055397e-05,2.5058496397778462e-05,3.11894336244567e-05,3.763700392211966e-05,4.427156216735284e-05,5.099937952346423e-05,5.775620437975526e-05,6.44989995671752e-05,7.119903470675926e-05,7.78369444909277e-05,8.439943303617525e-05,9.087714740263486e-05,9.72633257851907e-05,0.00010355294254482672,0.00010974216687831273,0.00011582801801368614,0.00012180814321582911,0.00012768067257118432,0.00013344412192017874,0.00013909732616501636,0.00014463939190567654,0.0001500696625347242,0.00015538769149503473,0.00016059322100381301,0.0001656861645271679,0.00017066659191367073,0.00017553471646547525,0.0001802908834723782,0.0001849355598889657,0.0001894693249245849,0.00019389286138971062
6,2.0805579481475434e-13,2.2948309919001986e-13,3.135269821541442e-13,4.741762538174044e-13,8.298917109073045e-13,1.6168177907616155e-12,3.3582026048861735e-12,7.210121388823154e-12,1.5725643010000567e-11,3.453559660471228e-11,7.603684348822526e-11,1.674432814624538e-10,3.682529836623871e-10,8.077584157106799e-10,1.7644611327582993e-09,3.8307244043522815e-09,8.244130933476868e-09,1.7527170492748212e-08,3.6654960511306456e-08,7.504120458357022e-08,1.4965530126254123e-07,2.895603329333696e-07,5.421554676310336e-07,9.81187306736686e-07,1.7150464566295653e-06,2.889993790500256e-06,4.679426524711872e-06,7.25383638811028e-06,1.0738910211416375e-05,1.5180968720662769e-05,2.0536549615646216e-05,2.6688270300279093e-05,3.3476245171026875e-05,4.0731289742024224e-05,4.830000855127192e-05,5.60577804655793e-05,6.391101188618631e-05,7.17929618569979e-05,7.965738007109646e-05,8.74725234624174e-05,9.521650070098975e-05,0.00010287398577035756,0.00011043401601162905,0.00011788855553518385,0.00012523156824617576,0.0001324584202160306,0.00013956549188665068,0.0001465499233092027,0.00015340944380715094,0.00016014225551042038,0.00016674695156648767,0.00017322245694928462,0.0001795679842175879,0.0001857829993502369,0.00019186719451513845,0.00019782046572325296,0.0002036428940123125,0.00020933472924777874,0.00021489637591232125,0.0002203283804484979,0.00022563141983955592
7,2.402522625288839e-13,2.6356694604601216e-13,3.540501225529624e-13,5.270228697895618e-13,9.099387909827783e-13,1.7571499810742353e-12,3.630207245919337e-12,7.770784016258858e-12,1.6918577649960298e-11,3.7113534467891895e-11,8.164202647265029e-11,1.7965651188944776e-10,3.948499305295172e-10,8.655454131201168e-10,1.8895088826909046e-09,4.0996612771238006e-09,8.817394481219765e-09,1.8733818718530415e-08,3.9150879649341164e-08,8.008418284077834e-08,1.595387916220048e-07,3.0821167562589125e-07,5.758228666108423e-07,1.0390519088465666e-06,1.8096065254047389e-06,3.0372744618256675e-06,4.899433029836864e-06,7.571971684883216e-06,1.1189015045376394e-05,1.5810018313522356e-05,2.140993260846269e-05,2.7893378345411612e-05,3.512162219398984e-05,4.293983948022717e-05,5.119768735106778e-05,5.976172812827141e-05,6.8520991447385e-05,7.738766851050904e-05,8.629484565136902e-05,9.519286249692893e-05,0.00010404543549802359,0.00011282620653552122,0.00012151597746368203,0.00013010063925111837,0.0001385696872099329,0.0001469151842004024,0.00015513104666353694,0.00016321255515427957,0.00017115601781292344,0.00017895853695260033,0.00018661784495443978,0.00019413218685881972,0.00020150023461784627,0.00020872102302960105,0.00021579390070347593,0.00022271849158994605,0.00022949466406951835,0.00023612250552729197,0.0002426023009917122,0.0002489345148395383,0.0002551197748473788
8,2.7267077484793845e-13,2.9753977059954195e-13,3.9457326295178063e-13,5.802025526691068e-13,9.907630271754897e-13,1.898370349806555e-12,3.9039882437919005e-12,8.334999357373363e-12,1.8117951583462855e-11,3.9701908427502985e-11,8.726452893625947e-11,1.918922798438416e-10,4.2146364176431916e-10,9.232997699726297e-10,2.0143335888178626e-09,4.367793904336281e-09,9.388253396913626e-09,1.9933963812945876e-08,4.163036737558912e-08,8.508778437388287e-08,1.6933187885204148e-07,3.2666213123366816e-07,6.090530311197995e-07,1.0959736956861477e-06,1.9021393307117052e-06,3.180213394071707e-06,5.1102477615083686e-06,7.87107472610682e-06,1.160100502162198e-05,1.636601457233322e-05,2.2150577939528127e-05,2.8871681357345302e-05,3.640466525367536e-05,4.4608498560250176e-05,5.334392527056586e-05,6.248371295280997e-05,7.191701936504202e-05,8.155024791323129e-05,9.130611329666305e-05,0.00010112191151057104,0.00011094750330475911,0.00012074327064792723,0.00013047819231859492,0.00014012812603780844,0.00014967434210622077,0.00015910231835825073,0.00016840078019886295,0.00017756095414744877,0.00018657599751559228,0.00019544056765974371,0.00020415049868316437,0.00021270255917638092,0.0002210942702788321,0.00022932376826390044,0.0002373896998801861,0.0002452911417670789,0.00025302753761513586,0.0002605986484581768,0.00026800451274389125,0.0002752454137376903,0.0002823218524831139
9,3.04867242562068e-13,3.3151259515307174e-13,4.3520742565306136e-13,6.337153024560394e-13,1.0722533971829762e-12,2.0410340084708878e-12,4.180766843830952e-12,8.904543769006068e-12,1.9327761613396888e-11,4.231071049076718e-11,9.292433489349605e-11,2.0419599344734252e-10,4.481943705059166e-10,9.812395340702551e-10,2.139413535218182e-09,4.6361600114508406e-09,9.958947222443726e-09,2.1132389615985403e-08,4.4103522278682306e-08,9.007304435648678e-08,1.7907785099247064e-07,3.450001512250722e-07,6.420269533791156e-07,1.152327035236489e-06,1.99343193274526e-06,3.3204892733174063e-06,5.315468772915111e-06,8.158782217826399e-06,1.199065706147806e-05,1.6880132518881652e-05,2.2816443248752094e-05,2.9723116581004128e-05,3.748346279142112e-05,4.596519563304646e-05,5.503774955228913e-05,6.458162552835933e-05,7.449189276431678e-05,8.46783498120729e-05,9.506419341798189e-05,0.00010558426258433506,0.00011618335403384972,0.00012681477425524612,0.00013743913605779312,0.00014802335217090068,0.00015853977320434698,0.00016896543100708428,0.0001792813648298086,0.0001894720198895028,0.00019952471451434306,0.00020942917414723539,0.00021917712994168337,0.00022876197814170052,0.0002381784948798371,0.0002474226000318547,0.00025649116336246003,0.0002653818463482782,0.0002740929735668418,0.0002826234282591322,0.00029097256743759736,0.00029914015268861505,0.0003071262935054886
