,Vgs,Idr02,Idr05,Idr18
0,0.41,3.59302233e-08,3.98576737e-08,5.4046495e-08
1,0.42,4.60104318e-08,5.099576e-08,6.89468166e-08
2,0.43,5.87602711e-08,6.50604108e-08,8.76535348e-08
3,0.44,7.48398801e-08,8.27647137e-08,1.11043057e-07
4,0.45,9.50587008e-08,1.04979322e-07,1.40166191e-07
5,0.46,1.20403062e-07,1.32760801e-07,1.76274499e-07
6,0.47,1.52064976e-07,1.67381246e-07,2.20846914e-07
7,0.48,1.9146989e-07,2.10356941e-07,2.7561447e-07
8,0.49,2.40300166e-07,2.63472908e-07,3.42580152e-07
9,0.5,3.0051035e-07,3.28799464e-07,4.24030218e-07
10,0.51,3.74329921e-07,4.08696552e-07,5.22533125e-07
11,0.52,4.64249596e-07,5.05802032e-07,6.40922576e-07
12,0.53,5.72988387e-07,6.23001206e-07,7.82262335e-07
13,0.54,7.0344047e-07,7.63376754e-07,9.49792329e-07
14,0.55,8.58603267e-07,9.30140625e-07,1.14685777e-06
15,0.56,1.04149053e-06,1.1265518e-06,1.37682541e-06
16,0.57,1.25503621e-06,1.35582588e-06,1.64299287e-06
17,0.58,1.50199596e-06,1.6210436e-06,1.94849808e-06
18,0.59,1.78485349e-06,1.92506559e-06,2.29623602e-06
19,0.6,2.10573774e-06,2.27045972e-06,2.68878883e-06
20,0.61,2.46635571e-06,2.65944576e-06,3.12837387e-06
21,0.62,2.86794319e-06,3.09386004e-06,3.61681196e-06
22,0.63,3.31123414e-06,3.57514025e-06,4.15551609e-06
23,0.64,3.79644764e-06,4.10432921e-06,4.7454987e-06
24,0.65,4.32329051e-06,4.68209433e-06,5.38739462e-06
25,0.66,4.89097358e-06,5.3087593e-06,6.08149578e-06
26,0.67,5.49824005e-06,5.98434381e-06,6.8277935e-06
27,0.68,6.14340548e-06,6.70860768e-06,7.62602482e-06
28,0.69,6.82440945e-06,7.48109591e-06,8.47571923e-06
29,0.7,7.53887949e-06,8.30118231e-06,9.37624361e-06
30,0.71,8.28420685e-06,9.16810965e-06,1.03268433e-05
31,0.72,9.05763171e-06,1.00810252e-05,1.13266785e-05
32,0.73,9.85633321e-06,1.10390113e-05,1.23748546e-05
33,0.74,1.06775172e-05,1.20411104e-05,1.34704481e-05
34,0.75,1.15184944e-05,1.30863449e-05,1.46125262e-05
35,0.76,1.23767424e-05,1.41737329e-05,1.58001623e-05
36,0.77,1.32499482e-05,1.53022995e-05,1.70324471e-05
37,0.78,1.41360312e-05,1.64710841e-05,1.83084965e-05
38,0.79,1.50331483e-05,1.76791461e-05,1.96274558e-05
39,0.8,1.59396857e-05,1.89255669e-05,2.09885026e-05
40,0.81,1.68542428e-05,2.0209451e-05,2.23908473e-05
41,0.82,1.77756097e-05,2.15299256e-05,2.38337325e-05
42,0.83,1.8702744e-05,2.28861384e-05,2.53164309e-05
43,0.84,1.96347477e-05,2.42772563e-05,2.68382439e-05
44,0.85,2.0570846e-05,2.57024623e-05,2.83984986e-05
45,0.86,2.15103675e-05,2.71609533e-05,2.99965453e-05
46,0.87,2.24527278e-05,2.86519364e-05,3.16317545e-05
47,0.88,2.33974148e-05,3.01746264e-05,3.33035141e-05
48,0.89,2.43439767e-05,3.17282429e-05,3.5011227e-05
49,0.9,2.52920119e-05,3.33120075e-05,3.67543085e-05
50,0.91,2.62411602e-05,3.49251419e-05,3.85321842e-05
51,0.92,2.71910962e-05,3.65668646e-05,4.03442884e-05
52,0.93,2.81415234e-05,3.823639e-05,4.21900617e-05
53,0.94,2.90921692e-05,3.99329257e-05,4.40689501e-05
54,0.95,3.00427812e-05,4.16556711e-05,4.59804038e-05
